156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
153,155,155,155,155,151,155,155,155,155,151,155,155,155,155,151,155,155,155,155,151,155,155,155,155,151
121,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
121,203,200,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,200,203
121,203,203,196,192,203,203,203,203,203,19,18,18,18,18,17,203,203,203,203,203,203,192,196,203,203
121,203,203,203,203,203,203,203,203,203,182,203,203,203,203,182,203,203,203,203,203,203,203,203,203,203
121,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
121,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
58,58,48,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
59,59,55,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,19,18,17
59,59,55,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,52,203,203,203,203
107,106,99,107,106,99,99,99,99,107,106,99,203,99,107,106,99,107,106,38,38,38,38,38,38,38
156,156,156,156,156,156,156,156,156,156,156,156,203,156,156,156,156,156,156,156,156,156,156,156,156,156
156,156,156,156,156,156,156,156,156,156,156,156,203,156,156,156,156,156,156,156,156,156,156,156,156,156
